_id,ltable_id,rtable_id,label,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price
0,730,775,0,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,None,lg ldf6920bb fully integrated dishwasher,None,None
1,670,820,0,speck seethru clear hard shell case for macbook air mbaclrsee,speck seethru clear hard shell case for macbook air mbaclrsee thin and sleek protective case access to all ports 2-piece snap on clear finish,None,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,None
2,497,239,0,denon blu-ray disc dvd/cd player dvd3800bdci,denon blu-ray disc dvd/cd player dvd3800bdci 10-bit realta hqv video processor 1080p/24fps output and multi-cadence detection hdmi 1.3 a output with 36-bit deep color support dual 32-bit floating point dsp multi-layered construction with dual-layered top shields and triple-layered bottom suppress vibration hybrid ( s.v.h. ) loader black finish,1999.0,denon dvd-2930ci dvd player dvd2930ci,"dvd + rw , dvd-rw , cd-rw dvd video , dvd audio , sacd , video cd , picture cd , jpeg , wma , pcm , hdcd , mp3 , mpeg-1 , mpeg-2 , mpeg-4 , divx playback 1 disc ( s ) progressive scan black",448.0
3,644,299,0,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9343t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9343t 3 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,None,panasonic kx-tg1032s dual handset digital cordless phone,1 x phone line ( s ) headset jack silver,61.14
4,464,32,0,sony silver minidv handycam camcorder dcrhc52,sony silver minidv handycam camcorder dcrhc52 680k pixels imager carl zeiss vario-tessar lens 40x optical zoom and 2000x digital zoom 2.5 ' touch panel lcd display super steadyshot image stabilization super nightshot plus technology easy handycam button fader effects manual focus multi-language menu silver finish,None,sony minidv head cleaner dvm12cld,head cleaner,7.95
5,855,1061,0,onkyo thx select2 plus certified 7.1 channel home theater black receiver txsr706b,"onkyo thx select2 plus certified 7.1 channel home theater black receiver txsr706b 100 watts per channel all discrete circuitry linear optimum gain volume dolby digital plus , dolby truehd and dts-hd decoding hdmi version v1 .3 a repeater dsd processing audyssey dynamic eq accurate speaker distance setting hdmi deep color capable ( 36bit ) analog to hdmi 1080p upconversion faroudja dcdi cinema black finish",None,onkyo tx-nr906 a/v receiver txnr906b,"thx ultra 2 , dolby digital plus , dolby truehd , dts-hd , neural surroundfm , am",1497.99
6,671,817,0,speck seethru pink hard shell case for macbook air mbapnksee,speck seethru pink hard shell case for macbook air mbapnksee thin and sleek protective case access to all ports 2-piece snap on pink finish,None,speck products seethru case for apple 13 ' macbook mb13-clr-see-v2,plastic clear,None
7,255,871,1,whirlpool white front load washer wfw9200swh,whirlpool duet wfw9200sq white front load washer wfw9200swh 4.0 cu . ft. capacity 6th sense technology quiet wash plus noise reduction built-in water heater add-a-garment feature sanitary cycle 4 temperature selections white finish,None,whirlpool 27 ' duet washer horiz axis wp,None,910.91
8,328,302,0,panasonic expandable digital cordless dect 6.0 phone system kxtg1032s,panasonic expandable digital cordless dect 6.0 phone system kxtg1032s up to 17 hours of talk time expandable up to 6 handsets up to 3-way conference capability light-up indicator with ringer/message alert backlit lcd on handset digital speakerphone 16-minute all-digital answering system silver finish,69.0,panasonic kx-tga101s dect 6.0 expansion handset,None,36.04
9,345,874,0,canon eos 40d digital slr camera and 28-135mm lens eos40d28135,"canon eos 40d digital slr camera and 28-135mm lens eos40d28135 10.1 megapixel cmos sensor digic iii image processor auto pop-up , retractable , built-in flash 3.0 ' tft color liquid-crystal monitor af system with 9 cross-type sensors includes 28-135mm lens 1901b017 black finish",None,canon eos rebel xs digital slr camera with ef-s 18-55mm 1:3.5 -5.6 is lens black 2762b003,"canon eos rebel xs digital slr camera with 10 megapixel , 2.5 ' lcd , 3 frames per sec & live view mode black",461.96
10,466,579,0,sony 30gb handycam hard disk drive camcorder dcrsr45,sony 30gb handycam hard disk drive camcorder dcrsr45 1/8 ' advanced had ccd imager 40x optical/2000x digital zoom 2.7 ' wide ( 16:9 ) touch panel clear photo lcd plus display hybrid recording to hard disk drive or memory stick media built-in zoom microphone with 5.1 ch recording carl zeiss vario-tessar lens usb 2.0 interface super nightshot infrared system,None,sony handycam hdr-sr10 high definition digital camcorder hdrsr10,16:9 2.7 ' hybrid lcd,549.0
11,190,34,0,panasonic kx-tg4500b black 5.8 ghz cordless phone system kxtg4500b,panasonic kx-tg4500b black 5.8 ghz cordless phone system kxtg4500b frequency-hopping spread spectrum technology all-digital voice mail system handles up to 4 lines tollsaver 2-way recording black finish,None,panasonic kx-ts108w corded phone,1 x phone line ( s ) white,None
12,1021,17,0,linksys compact wireless-g usb adapter wusb54gc,linksys compact wireless-g usb adapter wusb54gc connects your desktop or notebook to a wireless network at up to 54mbps when used with a usb 2.0 port compatible with wireless-b networks ( at 11mbps ) protected by wpa and up to 128-bit data encryption,39.0,linksys wireless-g range expander wireless bridge wre54g,54mbps,None
13,719,798,0,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,None,1.6 cu.ft . over the range microwave,None,None
14,519,399,0,nikon coolpix s550 blue 10.0 megapixels compact digital camera coolpixs550cb,nikon coolpix s550 blue 10.0 megapixels compact digital camera coolpixs550cb 5x optical zoom nikkor glass lens electronic vr image stabilization bright 2.5 ' high resolution lcd in-camera red-eye fix face-priority af d-lighting cool blue finish,None,nikon digital camera leather case 5811,leather black,7.99
15,675,1021,0,sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000,"sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000 1366 x 768p resolution advanced contrast enhancer circuit ( ace ) bravia engine fully digital video processor atsc/ntsc tuner with qam 9,000:1 dynamic contrast ratio 3d comb filter black finish",None,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,None,1098.72
16,14,517,0,panasonic hands-free headset kxtca86,panasonic hands-free headset kxtca86 comfort fit and fold design noise cancelling microphone standard 2.5 mm connection,14.95,panasonic kx-tga630s cordless handset,silver pearl wall-mountable,28.34
17,647,1074,0,sony white speaker dock and clock radio for ipod and iphone icfc1ipmk2wht,sony icfc1ipmk2 white speaker dock and clock radio for ipod and iphone icfc1ipmk2wht unique adjustable backstop for ipods 3 wake-sleep sound alert options digital am-fm tuner alarm clock automatic time set automatic daylight savings time battery charger audio input white finish,None,sony xdr-s10hdip clock radio with ipod dock xdrs10hdip,lcd,149.95
18,345,653,0,canon eos 40d digital slr camera and 28-135mm lens eos40d28135,"canon eos 40d digital slr camera and 28-135mm lens eos40d28135 10.1 megapixel cmos sensor digic iii image processor auto pop-up , retractable , built-in flash 3.0 ' tft color liquid-crystal monitor af system with 9 cross-type sensors includes 28-135mm lens 1901b017 black finish",None,canon powershot sd790 is digital camera 2554b001,"canon powershot sd790 is 10 megapixel digital camera with 3x optical zoom , 3 ' lcd , & pictbridge",None
19,993,419,0,canon black ef 70-300mm f/4 -5.6 is usm telephoto zoom lens 0345b002,canon black ef 70-300mm f/4 -5.6 is usm telephoto zoom lens 0345b002 15 elements in 10 groups lens construction 4.9 feet closest focusing distance 6-group helical zoom 58mm filter size black finish,None,canon eos 40d digital slr camera with ef 28-135mm f/3 .5 -5.6 is usm lens 1901b017,canon eos 40d digital slr camera with 28-135mm lens,1029.88
20,138,205,0,sony dvd remote control for ps2 black finish 711719707608,"sony dvd remote control for ps2 711719707608 works as a full-featured standard controller performs audio track selection , subtitle display and multiangle options designed to match the sleek look of playstation 2",19.0,sony remote control rmv310,"tv , vcr , dvd player , cable box , satellite receiver , amplifier , cd player , dvr 23 ft universal remote",14.72
21,836,1034,0,ihome ipod & iphone clock radio & audio system ip99br,ihome ip99 ipod & iphone clock radio & audio system ip99br universal dock for iphone auto-set clock programmable snooze charges ipod or iphone while docked reason8 speaker chambers line in jack full function remote control included dual alarm clock extra-large lcd display black finish ( iphone not included ),149.0,sony ipod/phone dock clock radio black nic icfc1ipmk2whi,None,61.42
22,444,880,0,sony silver cyber-shot 7.2 megapixel digital camera dscw120,sony silver cyber-shot 7.2 megapixel digital camera dscw120 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom silver finish,None,sony cyber-shot dsc-w150 digital camera black dscw150/b,8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd,129.99
23,717,801,0,lg over-the-range black microwave oven lmv1680bk,lg over-the-range black microwave oven lmv1680bk hidden venting system 300 cfm exhaust system dual distribution technology incandescent cooktop light bi-level cooking rack melt & soften feature child lock black finish,None,lg 2.0 cu.ft . over the range microwave oven,None,None
