id,title,authors,venue,year
0,"towards a cooperative transaction model - the cooperative activity model m rusinkiewicz , w klas , t tesch , j wфsch , p muth 1995",None,vldb,None
1,sql/xml is making good progress sigmod record 2002,"a eisenberg , j melton",None,None
2,using formal methods to reason about semantics-based decompositions of transactions vldb,"p ammann , s jajodia , i ray",None,1995.0
3,editor 's notes l liu 2002,None,sigmod record,None
4,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) 2002,None,None,None
5,"schema and database evolution in the o2 object database system f ferrandina , t meyer , r zicari , g ferran , j madec 1995",None,vldb,None
6,"procedures in object-oriented query languages k subieta , y kambayashi , j leszczylowski 1995",None,vldb,None
7,"phoenix project : fault-tolerant applications r barga , d lomet 2002",None,sigmod record,None
8,mining the world wide web : an information search approach - book review 2002,None,None,None
9,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms 1995,"f moser , a kraiss , w klas",vldb,None
10,report on the nsf workshop on building an infrastructure for mobile and wireless systems,None,None,2002.0
11,"retrieval of composite multimedia objects s chaudhuri , s ghandeharizadeh , c shahabi",None,vldb,1995.0
12,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002.0
13,the fittest survives : an adaptive approach to query optimization vldb,"h lu , k tan , s dao",None,1995.0
14,reminiscences on influential papers,None,None,2002.0
15,"type classification of semi-structured documents m tresch , n palmer , a luniewski vldb 1995",None,None,None
16,data mining : practical machine learning tools and techniques - book review sigmod record 2002,j geller,None,None
17,"managing intra-operator parallelism in parallel database systems m mehta , d dewitt vldb",None,None,1995.0
18,"advances in databases and information systems ( adbis ) a caplinskas , j eder , o vasilecas",None,sigmod record,2002.0
19,mining generalized association rules vldb,"r srikant , r agrawal",None,1995.0
20,sampling-based estimation of the number of distinct values of an attribute 1995,"p haas , j naughton , s seshadri , l stokes",vldb,None
21,book review column sigmod record 2002,k aberer,None,None
22,processing object-oriented queries with invertible late bound functions vldb 1995,"s flodin , t risch",None,None
23,databases and transaction processing : an application-oriented approach - book review sigmod record 2002,a kemper,None,None
24,"the clustra telecom database : high availability , high throughput , and real-time response s hvasshovd , и torbjјrnsen , s bratsberg , p holager 1995",None,vldb,None
25,conceptual modeling and specification generation for b2b business process based on ebxml,h kim,sigmod record,2002.0
26,"neurorule : a connectionist approach to data mining h lu , r setiono , h liu vldb 1995",None,None,None
27,a multi-agent system infrastructure for software component market-place : an ontological perspective sigmod record,"r erdur , o dikenelli",None,2002.0
28,"improving performance in replicated databases through relaxed coherency r gallersdіrfer , m nicola 1995",None,vldb,None
