id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
0,"Runaway Train Cam Country , Music , Contemporary Country , Honky Tonk $ 0.99 3:01 31-Mar-15",None,Welcome to Cam Country - EP,None,None,2015 Sony Music Entertainment,None,None
1,"Track 14 Me 4 U Pop/Rock , Music , Pop , Dance , R&B / Soul Album Only 2015 Ultra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment 3:41",Omi,None,None,None,None,None,None
2,Lips Are Movin Title $ 1.29 9-Jan-15,Meghan Trainor,None,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",None,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,None
3,"I Want a Hippopotamus for Christmas A Great Big World I 'll Be Home For Christmas Holiday , Music Compilation ( P ) 2014 Epic Records , a division of Sony Music Entertainment",None,None,None,$ 1.29,None,2:20,24-Nov-14
4,"Credit Meghan Trainor Pop , Music , Rock , Pop/Rock , Dance , Teen Pop $ 1.29 2014 , 2015 Epic Records , a division of Sony Music Entertainment",None,Title ( Deluxe ),None,None,None,2:51,9-Jan-15
5,"Lips Are Movin Meghan Trainor $ 1.29 2014 , 2015 Epic Records , a division of Sony Music Entertainment 3:01",None,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",None,None,None,9-Jan-15
6,Lips Are Movin Meghan Trainor 3:01 9-Jan-15,None,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",None,None
7,Lips Are Movin Title $ 1.29 3:01,Meghan Trainor,None,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",None,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",None,9-Jan-15
8,"Lips Are Movin Meghan Trainor Title Pop , Music , Pop/Rock , Dance , Rock , Teen Pop 2014 , 2015 Epic Records , a division of Sony Music Entertainment 3:01 9-Jan-15",None,None,None,$ 1.29,None,None,None
9,Perfect 2015 Interscope Records,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,None,4:02,None
10,"Wrapped Up ( Live ) Radio Disney Music Awards Pop , Music Album Only 2015 Walt Disney Records 3:01 21-Apr-15",Olly Murs,None,None,None,None,None,None
11,Lips Are Movin Meghan Trainor Title $ 1.29 3:01,None,None,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",None,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",None,9-Jan-15
12,Lips Are Movin,Meghan Trainor,Title,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",$ 1.29,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",3:01,9-Jan-15
13,On Trees and Birds and Fire ( CHS6 Edit ) [ Sam Feldt & Bloombox Remix ] I Am Oak Chilled House Session 2015 - Ministry of Sound,None,None,"Dance , Music",Album Only,2015 Ministry of Sound Recordings Ltd,3:33,1-Feb-15
14,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ] Lana Del Rey & Cedric Gervais $ 1.29 2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA 3:34,None,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ] - Single,"Dance , Music , Rock , Adult Alternative , Electronic",None,None,None,11-Jul-13
15,Thank You Baby $ 1.29 2014 Defected Records Limited 23-Nov-14,Krankbrother,Defected Presents Most Rated 2015,"Dance , Music",None,None,6:58,None
16,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ] Ride ( Remixes ) 19-Nov-12,Lana Del Rey,None,"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,None
17,"West Coast ( MK Remix ) West Coast ( Remix EP ) Alternative , Music , Rock 2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA",Lana Del Rey,None,None,$ 1.29,None,5:26,13-Jul-14
