_id,ltable_id,rtable_id,label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released
0,1409,51560,0,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic 2015 Interscope Records 6:30",None,None,None,$ 1.29,None,None,18-May-15,Transmission [ feat . X Ambassadors ] Dance & Electronic $ 1.29 ( C ) 2015 Interscope Records 4:02,Zedd,True Colors,None,None,None,None,"May 18 , 2015"
1,1289,34035,0,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Dance , Music , Rock , House , Electronic 26-Aug-11",David Guetta,Nothing But the Beat,None,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,None,"I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011",None,Nothing But the Beat 2.0 [ Explicit ],None,$ 0.99,None,None,None
2,2666,35475,1,Silver and Gold 3:33,Little Big Town,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",None,21-Oct-14,Silver And Gold Little Big Town Country ( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville 3:31,None,Pain Killer,None,$ 1.29,None,None,"October 21 , 2014"
3,1157,27989,0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",None,Listen ( Deluxe Version ),None,None,None,3:20,None,"I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",None,None,Dance & Electronic,None,None,3:08,None
4,3332,7412,0,"True Colors ( feat . Nicki Minaj ) Wiz Khalifa Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 4:15 19-Aug-14",None,Blacc Hollywood,None,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,None,None,"Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 4:16 August 19 , 2014",Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,None,None,None,None
5,1303,34060,0,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David Guetta Dance , Music , House , Electronic , Rock $ 1.29 3:34 26-Aug-11",None,Nothing But the Beat,None,None,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",None,None,"In My Head ( feat . Nervo ) David Guetta Dance & Electronic 2015 Real Sounds 3:51 August 26 , 2011",None,Nothing But the Beat 2.0 [ Explicit ],None,$ 0.99,None,None,None
6,1155,9941,0,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",None,None,None,None,None,3:20,None,"Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ] September 20 , 2005",David Banner,Certified ( Edited Version ),Rap & Hip-Hop,$ 0.99,"( C ) 2014 Island Records , a division of UMG Recordings , Inc.",4:27,None
7,4733,43755,0,Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP,Kaskade & Skrillex,None,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,17-Apr-12,"Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ] 2010 Robbins Entertainment LLC 3:29 December 23 , 2014",Skrillex & Diplo,Take ÌÏ There ( feat . Kiesza ) [ Remixes ],Dance & Electronic,$ 1.29,None,None,None
8,3949,38669,0,"Whatcha Say ( Klubjumpers Remix Radio ) Jason Derulo Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance $ 1.29 2011 This Compilation P2011 Warner Bros. . Records Inc. 4:02",None,Reloaded,None,None,None,None,16-Dec-11,The Sky 's The Limit ( Ayo Remix ) Jason Derulo Reloaded $ 1.29 3:25,None,None,Pop,None,"( C ) 2006 DTP Records , LLC",None,"December 16 , 2011"
9,2477,1222,0,"Because of Your Love Greatest Hits Country , Music , Contemporary Country , Urban Cowboy $ 0.99",Kenny Chesney,None,None,None,2000 BMG Entertainment,4:16,26-Sep-00,"Ruby , Do n't Take Your Love To Town 2:55",Kenny Rogers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,None,"August 1 , 2008"
